External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.09, 101659.27, 0.21,-0.56, 9.56, 9013
25.09, 101659.27, 0.27,-0.57, 9.67, 9018
25.09, 101656.03, 0.25,-0.54, 9.67, 9023
25.09, 101656.03, 0.17,-0.54, 9.60, 9028
25.09, 101656.03, 0.19,-0.50, 9.71, 9033
25.09, 101656.03, 0.25,-0.57, 9.60, 9038
25.09, 101656.03, 0.23,-0.56, 9.69, 9043
25.09, 101656.03, 0.25,-0.54, 9.64, 9048
25.09, 101656.03, 0.19,-0.56, 9.64, 9053
25.09, 101654.27, 0.25,-0.57, 9.67, 9058
25.09, 101654.27, 0.21,-0.56, 9.66, 9063
25.09, 101654.27, 0.25,-0.57, 9.66, 9068
25.09, 101654.27, 0.27,-0.56, 9.62, 9073
25.09, 101654.27, 0.23,-0.61, 9.64, 9078
25.09, 101654.27, 0.19,-0.63, 9.62, 9083
25.09, 101654.27, 0.13,-0.61, 9.66, 9088
25.09, 101655.09, 0.17,-0.52, 9.60, 9093
25.09, 101655.09, 0.21,-0.57, 9.69, 9098
25.09, 101655.09, 0.23,-0.56, 9.54, 9103
25.09, 101655.09, 0.23,-0.57, 9.73, 9108
25.09, 101655.09, 0.27,-0.50, 9.54, 9113
25.09, 101655.09, 0.23,-0.52, 9.58, 9118
25.09, 101655.09, 0.21,-0.57, 9.64, 9123
25.09, 101654.77, 0.19,-0.59, 9.66, 9128
25.09, 101654.77, 0.19,-0.56, 9.67, 9133
25.09, 101654.77, 0.17,-0.61, 9.62, 9138
25.09, 101654.77, 0.17,-0.56, 9.56, 9143
25.09, 101654.77, 0.25,-0.59, 9.69, 9148
25.09, 101654.77, 0.27,-0.57, 9.66, 9153
25.09, 101654.77, 0.17,-0.59, 9.66, 9158
25.09, 101652.78, 0.15,-0.59, 9.62, 9163
25.09, 101652.78, 0.23,-0.54, 9.62, 9168
25.09, 101652.78, 0.19,-0.56, 9.66, 9173
25.09, 101652.78, 0.23,-0.52, 9.58, 9178
25.09, 101652.78, 0.21,-0.56, 9.62, 9183
